# created by ghgpy
date        ch4_obd            ch4prods          ch4eps            ch4ebls            ch4e_tot          cont       
2022-06-03   1.3000000000E-02  3.7573307241E-01  1.9553739291E-01   4.9894790262E-04  1.9603634081E-01  flooding   
2022-06-10   7.4000000000E-02  1.8364011769E-01  9.5569201871E-02   2.4099856430E-04  9.5810200435E-02  flooding   
2022-06-17   9.2000000000E-02  4.3718964761E-01  2.2752036000E-01   5.8147400530E-04  2.2810183400E-01  flooding   
2022-06-22   2.2600000000E-01  7.8001617780E-01  4.0593267144E-01   1.0418338178E-03  4.0697450526E-01  flooding   
2022-06-24   1.8800000000E-01  7.7321656853E-01  4.0239404796E-01   1.0327030576E-03  4.0342675102E-01  flooding   
2022-06-29   3.6500000000E-01  9.0151892414E-01  4.6916460920E-01   1.2049920818E-03  4.7036960128E-01  flooding   
2022-07-01   3.3600000000E-01  8.4410815980E-01  4.3928714563E-01   1.1278988397E-03  4.4041504447E-01  flooding   
2022-07-05   4.0200000000E-01  9.6284153037E-01  5.0107785674E-01   1.2873382862E-03  5.0236519503E-01  flooding   
2022-07-08   5.1100000000E-01  9.8419725504E-01  5.1219171131E-01   1.3160155224E-03  5.1350772684E-01  flooding   
2022-07-12   6.1400000000E-01  9.9505237392E-01  5.1784088569E-01   1.3305921670E-03  5.1917147786E-01  flooding   
2022-07-15   5.0200000000E-01  8.9168575134E-01  4.6404727162E-01   1.1917877432E-03  4.6523905936E-01  flooding   
2022-07-19   4.8300000000E-01  7.9035969630E-01  4.1131560094E-01   1.0557234670E-03  4.1237132441E-01  flooding   
2022-07-22   4.9200000000E-01  7.8174104876E-01  4.0683032138E-01   1.0441500367E-03  4.0787447142E-01  flooding   
2022-07-26   4.9900000000E-01  7.9035969630E-01  4.1131560094E-01   1.0557234670E-03  4.1237132441E-01  flooding   
2022-08-01   6.7200000000E-01  9.4194992143E-01  4.9020553528E-01   1.2592842812E-03  4.9146481956E-01  flooding   
2022-08-04   5.5700000000E-01  9.9505237392E-01  5.1784088569E-01   1.3305921670E-03  5.1917147786E-01  flooding   
2022-08-05   5.4900000000E-01  1.4933318700E+00  7.7715336244E-01   1.9996998212E-03  7.7915306226E-01  flooding   
2022-08-09   5.5600000000E-01  9.6284153037E-01  5.0107785674E-01   1.2873382862E-03  5.0236519503E-01  flooding   
2022-08-12   5.2000000000E-01  8.3490225677E-01  4.3449624909E-01   1.1155368215E-03  4.3561178591E-01  flooding   
2022-08-16   6.1100000000E-01  9.2151234177E-01  4.7956949779E-01   1.2318399631E-03  4.8080133776E-01  flooding   
2022-08-19   4.0900000000E-01  8.0788366574E-01  4.2043534990E-01   1.0792552843E-03  4.2151460519E-01  flooding   
2022-08-23   4.6000000000E-01  8.6282617357E-01  4.4902829402E-01   1.1530340627E-03  4.5018132808E-01  flooding   
2022-08-26   3.2400000000E-01  7.0056766499E-01  3.6458641739E-01   9.3514749327E-04  3.6552156488E-01  flooding   
2022-06-03   2.3000000000E-04  4.9337043381E-01  2.5675772363E-01   6.5691558851E-04  2.5741463922E-01  irr_2wk    
2022-06-10   1.0000000000E-04  5.6267843622E-01  2.9282669677E-01   7.4998487044E-04  2.9357668164E-01  irr_2wk    
2022-06-17   7.2920000000E-02  6.3475823167E-01  3.3033815456E-01   8.4677621591E-04  3.3118493077E-01  irr_2wk    
2022-06-22   6.3780000000E-02  9.5233834703E-01  4.9561183515E-01   1.2732342333E-03  4.9688506938E-01  irr_2wk    
2022-06-24   1.7248000000E-01  4.4846089495E-01  2.3338609416E-01   5.9660944219E-04  2.3398270361E-01  irr_2wk    
2022-06-29   1.6196000000E-01  5.3417570717E-01  2.7799342886E-01   7.1171037929E-04  2.7870513924E-01  irr_2wk    
2022-07-01   1.5301000000E-01  3.7654911884E-01  1.9596207629E-01   5.0004371915E-04  1.9646212001E-01  irr_2wk    
2022-07-05   5.1240000000E-02  1.0627481415E+00  5.5307082652E-01   1.4214964820E-03  5.5449232301E-01  irr_2wk    
2022-07-12   1.4123000000E-01  1.1990632123E+00  6.2401133057E-01   1.6045452687E-03  6.2561587584E-01  irr_2wk    
2022-07-15   2.9546000000E-01  8.8196001575E-01  4.5898584604E-01   1.1787276752E-03  4.6016457372E-01  irr_2wk    
2022-07-19   2.8437000000E-01  8.1679110271E-01  4.2507092002E-01   1.0912165115E-03  4.2616213654E-01  irr_2wk    
2022-07-22   3.1862000000E-01  9.1146072097E-01  4.7433847644E-01   1.2183422847E-03  4.7555681872E-01  irr_2wk    
2022-07-26   3.4678000000E-01  9.6284153037E-01  5.0107785674E-01   1.2873382862E-03  5.0236519503E-01  irr_2wk    
2022-08-01   3.2468000000E-01  9.8419725504E-01  5.1219171131E-01   1.3160155224E-03  5.1350772684E-01  irr_2wk    
2022-08-04   2.5257000000E-01  1.1226717444E+00  5.8425601073E-01   1.5019640542E-03  5.8575797479E-01  irr_2wk    
2022-08-05   3.1844000000E-01  1.0171236758E+00  5.2932713788E-01   1.3602303061E-03  5.3068736819E-01  irr_2wk    
2022-08-09   3.4848000000E-01  9.9505237392E-01  5.1784088569E-01   1.3305921670E-03  5.1917147786E-01  irr_2wk    
2022-08-12   4.0282000000E-01  1.0283425227E+00  5.3516560204E-01   1.3752953778E-03  5.3654089742E-01  irr_2wk    
2022-08-16   3.5099000000E-01  9.6284153037E-01  5.0107785674E-01   1.2873382862E-03  5.0236519503E-01  irr_2wk    
2022-08-19   4.4669000000E-01  8.6282617357E-01  4.4902829402E-01   1.1530340627E-03  4.5018132808E-01  irr_2wk    
2022-08-23   6.5821000000E-01  9.8419725504E-01  5.1219171131E-01   1.3160155224E-03  5.1350772684E-01  irr_2wk    
2022-08-26   4.5859000000E-01  9.5233834703E-01  4.9561183515E-01   1.2732342333E-03  4.9688506938E-01  irr_2wk    
2022-08-30   2.9083000000E-01  6.6320517793E-01  3.4514239224E-01   8.8497579995E-04  3.4602736804E-01  irr_2wk    
2022-09-02   2.7884000000E-01  6.2099673051E-01  3.2317645319E-01   8.2829677650E-04  3.2400474996E-01  irr_2wk    
2022-09-07   2.3624000000E-01  6.0091320469E-01  3.1272467088E-01   8.0132789467E-04  3.1352599877E-01  irr_2wk    
2022-09-16   2.7154000000E-01  7.1609686734E-01  3.7266805823E-01   9.5600066551E-04  3.7362405890E-01  irr_2wk    
2022-09-19   2.6828000000E-01  7.4819789904E-01  3.8937393937E-01   9.9910708708E-04  3.9037304646E-01  irr_2wk    
2022-06-03   8.7270000000E-02  3.3471033759E-01  1.7418851732E-01   4.4386109676E-04  1.7463237842E-01  irr_3wk    
2022-06-10   3.4742000000E-01  1.7028223427E-01  8.8617549513E-02   2.2306111733E-04  8.8840610630E-02  irr_3wk    
2022-06-17   2.5937000000E-01  6.5597582013E-01  3.4138012088E-01   8.7526795791E-04  3.4225538884E-01  irr_3wk    
2022-06-22   4.6943000000E-01  8.1679110271E-01  4.2507092002E-01   1.0912165115E-03  4.2616213654E-01  irr_3wk    
2022-06-24   4.4561000000E-01  7.9907355138E-01  4.1585042800E-01   1.0674247455E-03  4.1691785275E-01  irr_3wk    
2022-06-29   8.2725000000E-01  8.8196001575E-01  4.5898584604E-01   1.1787276752E-03  4.6016457372E-01  irr_3wk    
2022-07-05   1.3656000000E-01  1.0511533790E+00  5.4703672996E-01   1.4059266172E-03  5.4844265658E-01  irr_3wk    
2022-07-08   3.6840000000E-02  7.7546437197E-01  4.0356384018E-01   1.0357214890E-03  4.0459956167E-01  irr_3wk    
2022-07-12   2.5940000000E-01  1.2122918892E+00  6.3089574184E-01   1.6223092126E-03  6.3251805105E-01  irr_3wk    
2022-07-15   2.8992000000E-01  9.0151892414E-01  4.6916460920E-01   1.2049920818E-03  4.7036960128E-01  irr_3wk    
2022-07-19   2.8459000000E-01  8.8196001575E-01  4.5898584604E-01   1.1787276752E-03  4.6016457372E-01  irr_3wk    
2022-07-22   3.1753000000E-01  8.6282617357E-01  4.4902829402E-01   1.1530340627E-03  4.5018132808E-01  irr_3wk    
2022-07-26   4.3585000000E-01  8.7234054350E-01  4.5397972158E-01   1.1658103014E-03  4.5514553188E-01  irr_3wk    
2022-08-01   5.1456000000E-01  6.6856877939E-02  3.4793369469E-02   8.4177823717E-05  3.4877547293E-02  irr_3wk    
2022-08-04   5.0135000000E-01  1.0283425227E+00  5.3516560204E-01   1.3752953778E-03  5.3654089742E-01  irr_3wk    
2022-08-05   5.1766000000E-01  1.0627481415E+00  5.5307082652E-01   1.4214964820E-03  5.5449232301E-01  irr_3wk    
2022-08-09   5.9430000000E-01  1.0396853007E+00  5.4106856191E-01   1.3905268688E-03  5.4245908878E-01  irr_3wk    
2022-08-12   5.2389000000E-01  9.4194992143E-01  4.9020553528E-01   1.2592842812E-03  4.9146481956E-01  irr_3wk    
2022-08-16   6.4631000000E-01  1.0283425227E+00  5.3516560204E-01   1.3752953778E-03  5.3654089742E-01  irr_3wk    
2022-08-19   5.5986000000E-01  9.5233834703E-01  4.9561183515E-01   1.2732342333E-03  4.9688506938E-01  irr_3wk    
2022-08-23   5.8758000000E-01  9.5233834703E-01  4.9561183515E-01   1.2732342333E-03  4.9688506938E-01  irr_3wk    
2022-08-26   4.0751000000E-01  7.4003991112E-01  3.8512839431E-01   9.8815224707E-04  3.8611654656E-01  irr_3wk    
2022-08-30   3.8024000000E-01  5.8994980206E-01  3.0701914394E-01   7.8660584274E-04  3.0780574978E-01  irr_3wk    
2022-09-02   2.8171000000E-01  6.0753430274E-01  3.1617039431E-01   8.1021894361E-04  3.1698061325E-01  irr_3wk    
2022-09-07   6.1192000000E-01  6.0753430274E-01  3.1617039431E-01   8.1021894361E-04  3.1698061325E-01  irr_3wk    
2022-09-16   4.7348000000E-01  7.1609686734E-01  3.7266805823E-01   9.5600066551E-04  3.7362405890E-01  irr_3wk    
2022-09-19   4.6857000000E-01  7.1609686734E-01  3.7266805823E-01   9.5600066551E-04  3.7362405890E-01  irr_3wk    
2022-05-27  -1.4200000000E-03  3.8355230444E-01  1.9960664408E-01   5.0944784901E-04  2.0011609193E-01  irr_4wk    
2022-06-03   4.8100000000E-03  5.3855342832E-01  2.8027166371E-01   7.1758894091E-04  2.8098925265E-01  irr_4wk    
