date,ch4_obd,eh,tsoil,waterlevel,site,condition
6/3/2022,0.013,-125,19.7,2.5,kimjae,flooding
6/10/2022,0.074,-57,20.2,2.5,kimjae,flooding
6/17/2022,0.092,-120,21.6,4.5,kimjae,flooding
6/22/2022,0.226,-144,24.4,6.5,kimjae,flooding
6/24/2022,0.188,-372,23.7,7,kimjae,flooding
6/29/2022,0.365,-447,25.1,5.8,kimjae,flooding
7/1/2022,0.336,-447,24.5,11.5,kimjae,flooding
7/5/2022,0.402,-447,25.7,25,kimjae,flooding
7/8/2022,0.511,-472,25.9,5,kimjae,flooding
7/12/2022,0.614,-462,26,6,kimjae,flooding
7/15/2022,0.502,-467,25,7.1,kimjae,flooding
7/19/2022,0.483,-494,23.9,9.7,kimjae,flooding
7/22/2022,0.492,-500,23.8,7.9,kimjae,flooding
7/26/2022,0.499,-494,23.9,7.1,kimjae,flooding
8/1/2022,0.672,-473,25.5,9.3,kimjae,flooding
8/4/2022,0.557,-489,26,7.8,kimjae,flooding
8/5/2022,0.549,-488,29.7,7.2,kimjae,flooding
8/9/2022,0.556,-501.5,25.7,7.5,kimjae,flooding
8/12/2022,0.52,-501.9,24.4,11.2,kimjae,flooding
8/16/2022,0.611,-515.1,25.3,12,kimjae,flooding
8/19/2022,0.409,-501.1,24.1,8.1,kimjae,flooding
8/23/2022,0.46,-509.8,24.7,7.5,kimjae,flooding
8/26/2022,0.324,-499.3,22.8,6.8,kimjae,flooding
8/30/2022,0.283,-9999,21.7,8.6,kimjae,flooding
9/2/2022,0.226,-9999,20.4,8.2,kimjae,flooding
9/7/2022,0.25,-9999,21.2,10.6,kimjae,flooding
9/13/2022,0.209,-9999,21.6,8.9,kimjae,flooding
9/16/2022,0.243,-9999,22.2,5.1,kimjae,flooding
9/19/2022,0.816,-9999,22.9,1.2,kimjae,flooding
9/23/2022,0.046,-9999,20.1,4.4,kimjae,flooding
5/24/2022,0.00297,-9999,19,-9999,kimjae,irr_2wk
5/27/2022,0.00297,-9999,17.6,1.8,kimjae,irr_2wk
6/3/2022,0.00023,-213,19.6,2.5,kimjae,irr_2wk
6/10/2022,0.0001,-288,20.8,2.8,kimjae,irr_2wk
6/17/2022,0.07292,-322,21.9,5.2,kimjae,irr_2wk
6/22/2022,0.06378,-298,25.6,3.8,kimjae,irr_2wk
6/24/2022,0.17248,-100,23.9,0.5,kimjae,irr_2wk
6/29/2022,0.16196,-86.4,26.9,-16.7,kimjae,irr_2wk
7/1/2022,0.15301,-72,25.2,-20,kimjae,irr_2wk
7/5/2022,0.05124,-157,26.6,-1.7,kimjae,irr_2wk
7/8/2022,0.11358,-9999,26.2,0.7,kimjae,irr_2wk
7/12/2022,0.14123,-424.7,27.7,3.6,kimjae,irr_2wk
7/15/2022,0.29546,-430,24.9,2.7,kimjae,irr_2wk
7/19/2022,0.28437,-482,24.2,5.6,kimjae,irr_2wk
7/22/2022,0.31862,-429,25.2,5.1,kimjae,irr_2wk
7/26/2022,0.34678,-476,25.7,-3.2,kimjae,irr_2wk
8/1/2022,0.32468,-381,25.9,-1,kimjae,irr_2wk
8/4/2022,0.25257,-412,27.1,-1.7,kimjae,irr_2wk
8/5/2022,0.31844,-390,26.2,-1.6,kimjae,irr_2wk
8/9/2022,0.34848,-421.6,26,2.5,kimjae,irr_2wk
8/12/2022,0.40282,-420.9,26.3,7.6,kimjae,irr_2wk
8/16/2022,0.35099,-205.5,25.7,9.7,kimjae,irr_2wk
8/19/2022,0.44669,-402.4,24.7,2.3,kimjae,irr_2wk
8/23/2022,0.65821,-430.7,25.9,1.1,kimjae,irr_2wk
8/26/2022,0.45859,-437.5,25.6,0.6,kimjae,irr_2wk
8/30/2022,0.29083,-450.6,22.3,5.6,kimjae,irr_2wk
9/2/2022,0.27884,-453.3,21.7,6.1,kimjae,irr_2wk
9/7/2022,0.23624,-473.5,21.4,7.1,kimjae,irr_2wk
9/13/2022,0.24297,-9999,21.8,4.3,kimjae,irr_2wk
9/16/2022,0.27154,-470.2,23,-4.1,kimjae,irr_2wk
9/19/2022,0.26828,-472.7,23.4,-12.1,kimjae,irr_2wk
9/23/2022,0.89541,-9999,19.7,-20.2,kimjae,irr_3wk
5/24/2022,0.00232,-9999,19,-9999,kimjae,irr_3wk
5/27/2022,0.0026,-9999,17.4,4.3,kimjae,irr_3wk
6/3/2022,0.08727,-109,20.3,2.5,kimjae,irr_3wk
